account_code,account_name,inferred_type,inferred_group,parent_note
6971,ค่าการกุศลสาธารณะ,EXPENSE,COGS,from TB row order; no explicit parent id
6972,รายจ่ายเพื่อการศึกษาหรือเพื่อการกีฬา,EXPENSE,COGS,from TB row order; no explicit parent id
6981,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับบริหาร,EXPENSE,COGS,from TB row order; no explicit parent id
7001,ค่าเสื่อมราคา - อาคาร,EXPENSE,SELLING_EXPENSE,from TB row order; no explicit parent id
7011,ค่าเสื่อมราคา - เครื่องใช้และอุปกรณ์สำนักงาน,EXPENSE,SELLING_EXPENSE,from TB row order; no explicit parent id
7012,ค่าเสื่อมราคา - เครื่องตกแต่งในสำนักงาน,EXPENSE,SELLING_EXPENSE,from TB row order; no explicit parent id
7013,ค่าเสื่อมราคา - รถยนต์,EXPENSE,SELLING_EXPENSE,from TB row order; no explicit parent id
7021,ค่าเสื่อมราคา - สิ่งปรับปรุงสินทรัพย์ - สำนักงานใหญ่,EXPENSE,SELLING_EXPENSE,from TB row order; no explicit parent id
7031,ค่าตัดจำหน่าย,EXPENSE,SELLING_EXPENSE,from TB row order; no explicit parent id
8001,ค่าเบี้ยประชุมกรรมการ,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8011,ค่าสอบบัญชี,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8021,ค่าที่ปรึกษา,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8031,ค่าใช้จ่ายอื่นๆ เกี่ยวกับการจัดตั้งบริษัท,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8101,ดอกเบี้ยรับจากธนาคาร,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8111,ดอกเบี้ยรับจากบริษัทที่เกี่ยวข้องกัน,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8121,ดอกเบี้ยรับจากกรรมการ,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8131,รายได้อื่น ๆ,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8201,ดอกเบี้ยจ่ายแก่ธนาคาร,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8211,ดอกเบี้ยจ่ายแก่บริษัทที่เกี่ยวข้องกัน,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8212,ดอกเบี้ยจ่ายอื่น ๆ,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8401,กำไรหรือ(ขาดทุน)จากการแลกเปลี่ยนเงินตราต่างประเทศ,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8402,กำไรหรือ(ขาดทุน)จากการจำหน่ายสินทรัพย์ถาวร,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8403,กำไรหรือ(ขาดทุน)จากการปิดร้านที่จำหน่ายสินค้า,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8501,หนี้สูญ,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8601,รายได้หรือค่าใช้จ่ายที่ไม่เกี่ยวกับการบริหาร,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
8701,เงินปันผลรับ,EXPENSE,ADMIN_EXPENSE,from TB row order; no explicit parent id
9001,ค่าภาษีเงินได้นิติบุคคล,EXPENSE,TAX_SPECIAL,from TB row order; no explicit parent id
9101,รายการพิเศษ,EXPENSE,TAX_SPECIAL,from TB row order; no explicit parent id
1,ทุนหุ้นสามัญ,EQUITY,EQUITY,from TB row order; no explicit parent id
101,สำรองตามกฎหมาย,EQUITY,EQUITY,from TB row order; no explicit parent id
201,สำรองอื่น,EQUITY,EQUITY,from TB row order; no explicit parent id
301,กำไร (ขาดทุน) สะสม,EQUITY,EQUITY,from TB row order; no explicit parent id
401,กำไร (ขาดทุน) สุทธิ,EQUITY,EQUITY,from TB row order; no explicit parent id
